"year"	"area"	"box"	"nest"	"date"	"nestbox"	"species"	"chick"	"nestchick"	"order"	"playback"	"file"	"recording"	"Songs.with.call"	"Songs.without.call"	"Call.bin"	"Call.prop"	"source"	"treatment"	"beg.rest"	"beg.play"	"clutch.size"	"mass"
"171"	2014	"KOL"	"33"	"2014KOL33"	"6.13"	"KOL33"	"collared"	4	"2014KOL334"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	0	0	5	13.08
"172"	2014	"KOL"	"33"	"2014KOL33"	"6.13"	"KOL33"	"collared"	5	"2014KOL335"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	5	0	5	13.08
"173"	2014	"KOL"	"38"	"2014KOL38"	"6.15"	"KOL38"	"collared"	1	"2014KOL381"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	14.25
"174"	2014	"KOL"	"38"	"2014KOL38"	"6.15"	"KOL38"	"collared"	5	"2014KOL385"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	14.25
"175"	2014	"KOL"	"38"	"2014KOL38"	"6.15"	"KOL38"	"collared"	2	"2014KOL382"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	14.25
"176"	2014	"KOL"	"38"	"2014KOL38"	"6.15"	"KOL38"	"collared"	3	"2014KOL383"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	14.25
"177"	2014	"KOL"	"38"	"2014KOL38"	"6.15"	"KOL38"	"collared"	4	"2014KOL384"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	12	0	7	14.25
"185"	2014	"KOL"	"38"	"2014KOL38"	"6.15"	"KOL38"	"collared"	6	"2014KOL386"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	14.25
"186"	2014	"KOL"	"38"	"2014KOL38"	"6.15"	"KOL38"	"collared"	7	"2014KOL387"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	14.25
"187"	2014	"KOL"	"43A"	"2014KOL43A"	"6.18"	"KOL43A"	"collared"	3	"2014KOL43A3"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	35	40	5	13.675
"188"	2014	"KOL"	"43A"	"2014KOL43A"	"6.18"	"KOL43A"	"collared"	4	"2014KOL43A4"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	0	0	5	13.675
"192"	2014	"KOL"	"43A"	"2014KOL43A"	"6.18"	"KOL43A"	"collared"	5	"2014KOL43A5"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	30	35	5	13.675
"194"	2014	"KOL"	"43A"	"2014KOL43A"	"6.18"	"KOL43A"	"collared"	2	"2014KOL43A2"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	0	1	5	13.675
"196"	2014	"KOL"	"43A"	"2014KOL43A"	"6.18"	"KOL43A"	"collared"	1	"2014KOL43A1"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	25	35	5	13.675
"197"	2014	"KOL"	"45"	"2014KOL45"	"6.18"	"KOL45"	"collared"	2	"2014KOL452"	1	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	7	0	4	14.85
"198"	2014	"KOL"	"45"	"2014KOL45"	"6.18"	"KOL45"	"collared"	1	"2014KOL451"	1	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	15	0	4	14.85
"200"	2014	"KOL"	"45"	"2014KOL45"	"6.18"	"KOL45"	"collared"	3	"2014KOL453"	1	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	2	0	4	14.85
"201"	2014	"KOL"	"45"	"2014KOL45"	"6.18"	"KOL45"	"collared"	4	"2014KOL454"	1	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	0	3	4	14.85
"205"	2014	"KOL"	"46A"	"2014KOL46A"	"6.11"	"KOL46A"	"collared"	2	"2014KOL46A2"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	15.45714286
"206"	2014	"KOL"	"46A"	"2014KOL46A"	"6.11"	"KOL46A"	"collared"	1	"2014KOL46A1"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	15.45714286
"207"	2014	"KOL"	"46A"	"2014KOL46A"	"6.11"	"KOL46A"	"collared"	6	"2014KOL46A6"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	15.45714286
"208"	2014	"KOL"	"46A"	"2014KOL46A"	"6.11"	"KOL46A"	"collared"	7	"2014KOL46A7"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	15.45714286
"216"	2014	"KOL"	"46A"	"2014KOL46A"	"6.11"	"KOL46A"	"collared"	4	"2014KOL46A4"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	15.45714286
"217"	2014	"KOL"	"46A"	"2014KOL46A"	"6.11"	"KOL46A"	"collared"	5	"2014KOL46A5"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	15.45714286
"218"	2014	"KOL"	"46A"	"2014KOL46A"	"6.11"	"KOL46A"	"collared"	3	"2014KOL46A3"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	15.45714286
"219"	2014	"KOL"	"48A"	"2014KOL48A"	"6.14"	"KOL48A"	"collared"	3	"2014KOL48A3"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.71666667
"220"	2014	"KOL"	"48A"	"2014KOL48A"	"6.14"	"KOL48A"	"collared"	1	"2014KOL48A1"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.71666667
"221"	2014	"KOL"	"48A"	"2014KOL48A"	"6.14"	"KOL48A"	"collared"	2	"2014KOL48A2"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.71666667
"228"	2014	"KOL"	"48A"	"2014KOL48A"	"6.14"	"KOL48A"	"collared"	4	"2014KOL48A4"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.71666667
"229"	2014	"KOL"	"48A"	"2014KOL48A"	"6.14"	"KOL48A"	"collared"	5	"2014KOL48A5"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.71666667
"230"	2014	"KOL"	"48A"	"2014KOL48A"	"6.14"	"KOL48A"	"collared"	6	"2014KOL48A6"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	3	3	6	14.71666667
"231"	2014	"KOL"	"50"	"2014KOL50"	"6.15"	"KOL50"	"collared"	2	"2014KOL502"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.68571429
"232"	2014	"KOL"	"50"	"2014KOL50"	"6.15"	"KOL50"	"collared"	3	"2014KOL503"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.68571429
"233"	2014	"KOL"	"50"	"2014KOL50"	"6.15"	"KOL50"	"collared"	6	"2014KOL506"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.68571429
"234"	2014	"KOL"	"50"	"2014KOL50"	"6.15"	"KOL50"	"collared"	7	"2014KOL507"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.68571429
