"Date"	"Area"	"Box"	"Chick_ID"	"Ring"	"Tarsus"	"Mass"	"Order"	"Treatment"	"Playback_ID"	"Group_size"	"Beg_rest"	"Jump_rest"	"Gape_rest"	"Look_rest"	"Shift_rest"	"Beg_play"	"Jump_play"	"Gape_play"	"Look_play"	"Shift_play"
"101"	2019-06-15	"VIC"	"VIC_7"	"2 dot"	"DC17761"	19.5	12.8	1	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"102"	2019-06-15	"VIC"	"VIC_7"	"3 dot"	"DC17760"	19.4	13.6	1	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"103"	2019-06-15	"VIC"	"VIC_7"	"1 line"	"DC17758"	19.9	13.8	1	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"104"	2019-06-15	"VIC"	"VIC_7"	"no dot"	"DC17762"	19.7	13.1	2	"Pied"	"p7"	5	0	0	0	0	0	0	0	0	0	0
"105"	2019-06-15	"VIC"	"VIC_7"	"1 dot"	"DC17759"	19.7	13.2	2	"Pied"	"p7"	5	0	0	0	0	0	0	0	0	0	0
"106"	2019-06-15	"VIC"	"VIC_7"	"2 dot"	"DC17761"	19.5	12.8	2	"Pied"	"p7"	5	0	0	0	0	0	0	0	0	0	0
"107"	2019-06-15	"VIC"	"VIC_7"	"3 dot"	"DC17760"	19.4	13.6	2	"Pied"	"p7"	5	0	0	0	0	0	0	0	0	0	0
"108"	2019-06-15	"VIC"	"VIC_7"	"1 line"	"DC17758"	19.9	13.8	2	"Pied"	"p7"	5	0	0	0	0	0	0	0	0	0	0
"109"	2019-06-15	"VIC"	"VIC_17"	"no dot"	"DC17869"	19.8	15.1	1	"Pied"	"p9"	2	0	0	0	0	0	0	0	0	0	0
"110"	2019-06-15	"VIC"	"VIC_17"	"1 dot"	"DC17872"	19.9	14.5	1	"Pied"	"p9"	2	0	0	0	0	0	0	0	0	0	9
"111"	2019-06-15	"VIC"	"VIC_17"	"no dot"	"DC17869"	19.8	15.1	2	"Collared"	"c10"	2	19	0	0	0	0	2	0	0	0	0
"112"	2019-06-15	"VIC"	"VIC_17"	"1 dot"	"DC17872"	19.9	14.5	2	"Collared"	"c10"	2	3	0	0	0	5	0	0	0	0	0
"113"	2019-06-15	"VIC"	"VIC_S40"	"no dot"	"DC17534"	19.8	13.8	1	"Collared"	"c2"	7	0	0	0	0	0	0	0	0	0	0
"114"	2019-06-15	"VIC"	"VIC_S40"	"1 dot"	"DC17533"	20.3	14.8	1	"Collared"	"c2"	7	0	0	0	0	0	0	0	0	0	0
"115"	2019-06-15	"VIC"	"VIC_S40"	"2 dot"	"DC17532"	19.7	14.5	1	"Collared"	"c2"	7	0	0	0	0	0	0	0	0	0	0
"116"	2019-06-15	"VIC"	"VIC_S40"	"3 dot"	"DC17529"	19.1	13.5	1	"Collared"	"c2"	7	0	0	0	0	0	8	0	0	0	0
"117"	2019-06-15	"VIC"	"VIC_S40"	"4 dot"	"DC17528"	19.8	14.3	1	"Collared"	"c2"	7	0	0	0	2	1	14	0	0	0	6
"118"	2019-06-15	"VIC"	"VIC_S40"	"1 line"	"DC17531"	20.2	15.6	1	"Collared"	"c2"	7	0	0	0	0	0	2	0	0	0	0
"119"	2019-06-15	"VIC"	"VIC_S40"	"1 cross"	"DC17530"	20.4	14.4	1	"Collared"	"c2"	7	0	0	0	0	0	0	0	0	0	0
"120"	2019-06-15	"VIC"	"VIC_S40"	"no dot"	"DC17534"	19.8	13.8	2	"Pied"	"p8"	7	0	0	0	0	0	0	0	0	0	0
"121"	2019-06-15	"VIC"	"VIC_S40"	"1 dot"	"DC17533"	20.3	14.8	2	"Pied"	"p8"	7	0	0	0	0	0	0	0	0	0	0
"122"	2019-06-15	"VIC"	"VIC_S40"	"2 dot"	"DC17532"	19.7	14.5	2	"Pied"	"p8"	7	0	0	0	0	0	0	0	0	0	0
"123"	2019-06-15	"VIC"	"VIC_S40"	"3 dot"	"DC17529"	19.1	13.5	2	"Pied"	"p8"	7	0	0	0	0	0	0	0	0	0	0
"124"	2019-06-15	"VIC"	"VIC_S40"	"4 dot"	"DC17528"	19.8	14.3	2	"Pied"	"p8"	7	6	0	0	1	1	29	0	0	4	5
"125"	2019-06-15	"VIC"	"VIC_S40"	"1 line"	"DC17531"	20.2	15.6	2	"Pied"	"p8"	7	0	0	0	0	0	0	0	0	0	0
"126"	2019-06-15	"VIC"	"VIC_S40"	"1 cross"	"DC17530"	20.4	14.4	2	"Pied"	"p8"	7	0	0	0	0	0	0	0	0	0	0
"127"	2019-06-15	"RAL"	"RAL_C2"	"no dot"	"DC17770"	19.5	14.8	1	"Pied"	"p8"	2	0	0	0	0	0	0	0	0	0	0
"128"	2019-06-15	"RAL"	"RAL_C2"	"1 dot"	"DC17776"	20.3	15	1	"Pied"	"p8"	2	0	0	0	0	0	0	0	0	0	1
"129"	2019-06-15	"RAL"	"RAL_C2"	"no dot"	"DC17770"	19.5	14.8	2	"Collared"	"c1"	2	0	0	0	0	0	0	0	0	0	0
"130"	2019-06-15	"RAL"	"RAL_C2"	"1 dot"	"DC17776"	20.3	15	2	"Collared"	"c1"	2	2	0	0	0	0	0	0	0	0	0
"131"	2019-06-15	"RAL"	"RAL_C3"	"no dot"	"DC17876"	20.1	15.1	1	"Collared"	"c6"	4	0	0	0	0	0	0	0	0	0	0
"132"	2019-06-15	"RAL"	"RAL_C3"	"1 dot"	"DC17877"	19.8	15.2	1	"Collared"	"c6"	4	0	0	0	0	0	0	0	0	0	0
"133"	2019-06-15	"RAL"	"RAL_C3"	"2 dot"	"DC17879"	19.4	14.9	1	"Collared"	"c6"	4	0	0	0	0	0	0	0	0	0	3
"134"	2019-06-15	"RAL"	"RAL_C3"	"3 dot"	"DC17873"	20.1	15.7	1	"Collared"	"c6"	4	0	0	0	0	0	0	0	0	0	0
"135"	2019-06-15	"RAL"	"RAL_C3"	"no dot"	"DC17876"	20.1	15.1	2	"Pied"	"p2"	4	0	0	0	0	0	0	0	0	0	0
"136"	2019-06-15	"RAL"	"RAL_C3"	"1 dot"	"DC17877"	19.8	15.2	2	"Pied"	"p2"	4	0	0	0	0	0	0	0	0	0	0
"137"	2019-06-15	"RAL"	"RAL_C3"	"2 dot"	"DC17879"	19.4	14.9	2	"Pied"	"p2"	4	0	0	0	0	3	0	0	0	0	0
"138"	2019-06-15	"RAL"	"RAL_C3"	"3 dot"	"DC17873"	20.1	15.7	2	"Pied"	"p2"	4	0	0	0	0	0	0	0	0	0	0
"139"	2019-06-16	"ISG"	"ISG_12"	"no dot"	"DC17691"	20.2	14.1	1	"Pied"	"p4"	7	0	0	0	0	0	0	0	0	0	0
"140"	2019-06-16	"ISG"	"ISG_12"	"1 dot"	"DC17687"	20	14	1	"Pied"	"p4"	7	0	0	0	0	0	0	0	1	1	0
"141"	2019-06-16	"ISG"	"ISG_12"	"2 dot"	"DC17692"	19.7	13.3	1	"Pied"	"p4"	7	0	0	0	0	0	0	0	0	0	0
"142"	2019-06-16	"ISG"	"ISG_12"	"3 dot"	"DC17690"	20	14.7	1	"Pied"	"p4"	7	0	0	0	0	0	8	0	2	0	1
