"area"	"nestbox"	"day"	"time"	"playback_id"	"treatment"	"minute"	"minimum_distance"	"alarm"	"wing_flick"	"graded_resp"
"88"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	13	0	0	1	"3"
"89"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	14	1	0	1	"3"
"90"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	15	0.2	0	1	"3"
"91"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	6	40	0	0	"1"
"92"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	7	40	0	0	"1"
"93"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	8	40	1	0	"2"
"94"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	9	40	0	0	"1"
"95"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	10	40	0	0	"1"
"96"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	11	40	0	0	"1"
"97"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	12	40	0	0	"1"
"98"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	13	40	0	0	"1"
"99"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	14	40	0	0	"1"
"100"	"ISG"	"24"	2019-05-11	1899-12-31 07:20:00	"cc-ps-7"	"cc-ps"	15	40	1	0	"2"
"101"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	6	40	0	0	"1"
"102"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	7	5	0	1	"3"
"103"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	8	4	1	1	"4"
"104"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	9	5	1	1	"4"
"105"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	10	15	0	1	"2"
"106"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	11	10	1	1	"4"
"107"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	12	7	0	1	"3"
"108"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	13	30	0	0	"1"
"109"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	14	40	0	0	"1"
"110"	"RAL"	"C8"	2019-05-11	1899-12-31 08:15:00	"cc-cs-7"	"cc-cs"	15	7	1	1	"4"
"111"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	6	40	0	0	"1"
"112"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	7	40	0	0	"1"
"113"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	8	35	1	0	"2"
"114"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	9	10	1	1	"4"
"115"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	10	10	1	0	"3"
"116"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	11	10	0	1	"3"
"117"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	12	5	0	0	"2"
"118"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	13	8	0	1	"3"
"119"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	14	15	1	0	"2"
"120"	"RAL"	"C6"	2019-05-11	1899-12-31 09:25:00	"cc-cs-8"	"cc-cs"	15	15	0	1	"2"
